               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.026318,           0.0090715,            0.010593,                   1,             0.96869,               0.995,             0.84652,            0.012271,            0.004396,            0.030542,            0.006106,            0.006106,            0.006106
                  61,            0.025283,           0.0093316,           0.0082032,                   1,             0.96727,               0.995,               0.995,            0.008847,           0.0045054,            0.029846,             0.00604,             0.00604,             0.00604
                  62,            0.027783,           0.0092209,           0.0072676,                   1,             0.97324,               0.995,             0.74742,            0.011551,           0.0044403,            0.016347,            0.005974,            0.005974,            0.005974
                  63,            0.025604,           0.0095698,           0.0078361,             0.99479,                   1,               0.995,              0.8955,           0.0093216,           0.0040748,           0.0088097,            0.005908,            0.005908,            0.005908
                  64,            0.026928,           0.0090784,           0.0081789,                   1,             0.97137,               0.995,              0.9001,            0.010052,           0.0038557,            0.020421,            0.005842,            0.005842,            0.005842
                  65,            0.025729,            0.008468,           0.0062123,              0.9678,                 0.5,             0.82833,             0.66267,            0.010025,           0.0035706,            0.040604,            0.005776,            0.005776,            0.005776
                  66,            0.027915,            0.009652,           0.0074835,             0.96889,                 0.5,             0.82833,             0.76519,            0.011052,           0.0036652,            0.037811,             0.00571,             0.00571,             0.00571
                  67,             0.02537,           0.0085189,           0.0062084,                   1,             0.97036,               0.995,               0.796,             0.01157,           0.0041957,            0.038132,            0.005644,            0.005644,            0.005644
                  68,            0.028237,           0.0097816,           0.0068954,             0.96979,                 0.5,             0.82833,             0.63298,             0.01466,           0.0042846,            0.041611,            0.005578,            0.005578,            0.005578
                  69,            0.025432,           0.0094261,           0.0089885,                   1,             0.97031,               0.995,             0.84732,            0.010081,           0.0041831,             0.03663,            0.005512,            0.005512,            0.005512
                  70,             0.02542,           0.0093831,           0.0080303,                   1,             0.97359,               0.995,               0.796,            0.013488,            0.005307,            0.016658,            0.005446,            0.005446,            0.005446
                  71,            0.025842,           0.0091513,           0.0062261,             0.98098,                   1,               0.995,              0.8955,            0.008499,           0.0038373,           0.0018019,             0.00538,             0.00538,             0.00538
                  72,            0.027407,           0.0087877,            0.007893,             0.98048,                   1,               0.995,             0.64809,            0.018087,           0.0059161,          0.00099392,            0.005314,            0.005314,            0.005314
                  73,            0.024877,           0.0082589,           0.0074114,             0.79075,                 0.5,               0.745,             0.42359,            0.017622,            0.021145,           0.0013455,            0.005248,            0.005248,            0.005248
                  74,            0.027737,           0.0095235,           0.0076532,               0.967,                   1,               0.995,             0.79793,            0.014571,           0.0074744,           0.0011667,            0.005182,            0.005182,            0.005182
                  75,            0.024933,            0.009163,           0.0061108,             0.97585,                   1,               0.995,             0.67284,            0.013726,           0.0044029,           0.0010225,            0.005116,            0.005116,            0.005116
                  76,            0.024046,           0.0081788,           0.0060774,             0.97376,                   1,               0.995,             0.82146,           0.0092339,           0.0038435,           0.0010085,             0.00505,             0.00505,             0.00505
                  77,            0.025498,           0.0082146,           0.0067305,             0.98005,                   1,               0.995,               0.847,            0.013338,           0.0037889,            0.001072,            0.004984,            0.004984,            0.004984
                  78,            0.022948,             0.00897,           0.0070263,             0.97986,                   1,               0.995,             0.82196,            0.011661,           0.0036418,           0.0011155,            0.004918,            0.004918,            0.004918
                  79,            0.023895,           0.0092658,           0.0061693,             0.97969,                   1,               0.995,               0.898,           0.0095743,           0.0035894,           0.0013275,            0.004852,            0.004852,            0.004852
                  80,            0.024455,           0.0076188,           0.0065331,             0.98066,                   1,               0.995,             0.94616,           0.0088887,           0.0034328,           0.0015123,            0.004786,            0.004786,            0.004786
                  81,            0.024479,           0.0081167,           0.0043746,             0.98071,                   1,               0.995,               0.847,             0.01231,            0.003125,           0.0016314,             0.00472,             0.00472,             0.00472
